game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
1896700,Wylde Flowers,https://store.steampowered.com/app/1896700,21.1,6.25,4.08,0.37,3.08,5.82,4.38,4.49,6.2
1999770,Atelier Ryza 3: Alchemist of the End & the Secret Key,https://store.steampowered.com/app/1999770,26.14,5.68,3.87,2.57,2.53,5.18,5.61,14.48,8.26
524220,NieR:Automata™,https://store.steampowered.com/app/524220,20.44,0.94,3.1,1.67,0.0,2.55,3.35,1.98,4.25
1603640,The House of Da Vinci 3,https://store.steampowered.com/app/1603640,27.66,6.92,4.36,0.68,0.61,1.32,9.06,8.52,7.39
611790,House Party,https://store.steampowered.com/app/611790,27.04,8.3,4.84,1.53,5.01,7.7,7.79,7.28,8.69
292910,Deponia: The Complete Journey,https://store.steampowered.com/app/292910,22.18,12.6,2.92,2.14,4.5,5.68,4.63,6.73,7.67
2140650,Harvest Moon: The Winds of Anthos,https://store.steampowered.com/app/2140650,16.48,2.91,3.37,2.19,6.83,4.23,6.67,8.48,6.4
731040,The Invincible,https://store.steampowered.com/app/731040,30.4,5.86,3.56,2.97,6.87,4.54,6.03,6.33,8.32
1281590,The Dark Pictures Anthology: House of Ashes,https://store.steampowered.com/app/1281590,29.79,2.96,4.71,1.74,0.28,6.59,4.31,6.15,7.07
312750,Final Fantasy IV (3D Remake),https://store.steampowered.com/app/312750,23.2,3.11,3.32,1.62,0.0,3.37,6.57,3.44,5.58
747660,Five Nights at Freddy's: Security Breach,https://store.steampowered.com/app/747660,29.38,1.01,4.1,0.0,0.0,7.48,5.53,4.99,6.56
1244090,Sea of Stars,https://store.steampowered.com/app/1244090,20.6,6.78,3.35,2.0,1.95,7.62,4.21,6.93,6.68
2716400,The Rise of the Golden Idol,https://store.steampowered.com/app/2716400,27.82,7.43,4.54,0.02,0.71,8.28,14.72,15.26,9.85
1240210,There Is No Game: Wrong Dimension,https://store.steampowered.com/app/1240210,23.93,15.55,4.46,0.32,2.6,5.86,8.07,6.56,8.42
20920,The Witcher 2: Assassins of Kings Enhanced Edition,https://store.steampowered.com/app/20920,19.46,0.0,2.64,0.32,0.0,0.36,4.05,1.97,3.6
