game_id,title,steam_link,keyword_evaluation_Autobiographisch,keyword_evaluation_Werke,keyword_evaluation_Figuren,keyword_evaluation_K_E_Total,embedding_evaluation_kafkaesque,embedding_evaluation_absurd,embedding_evaluation_surreal,embedding_evaluation_displaced,embedding_evaluation_isolated,embedding_evaluation_alienated,embedding_evaluation_bureaucratic,embedding_evaluation_civil service,embedding_evaluation_Embedding_Total,keyword_rescaled,embedding_rescaled,baseline_combined_rescaled,generative_evaluation_krauss_1_definition_x,generative_evaluation_krauss_2_kontrast_x,generative_evaluation_krauss_3_beispiel_rossmann_x,generative_evaluation_krauss_4_schluss_x,generative_evaluation_NLI_Total_x,generative_evaluation_krauss_1_definition_y,generative_evaluation_krauss_2_kontrast_y,generative_evaluation_krauss_3_beispiel_rossmann_y,generative_evaluation_krauss_4_schluss_y,generative_evaluation_NLI_Total_y
3152540,Hydroponics Farm & Store Simulator,https://store.steampowered.com/app/3152540,0.0,0.0,0.0,0.0,11.68,0.0,2.61,0.0,0.62,0.0,6.44,0.0,2.67,41.97,14.24,28.11,,,,,,,,,,
3154450,RealmScape,https://store.steampowered.com/app/3154450,0.0,0.0,0.0,0.0,22.83,5.89,4.96,1.2,3.09,2.87,7.02,7.21,6.88,41.97,51.46,46.71,,,,,,,,,,
3157360,Almohadin: escape from the basement,https://store.steampowered.com/app/3157360,0.0,0.0,0.0,0.0,21.22,1.06,3.68,0.72,0.48,5.85,4.46,1.55,4.88,41.97,30.53,36.25,,,,,,,,,,
3157910,Cats of the Song Dynasty,https://store.steampowered.com/app/3157910,0.0,0.0,0.0,0.0,9.44,0.82,3.61,0.17,0.12,0.8,2.95,2.99,2.61,41.97,13.92,27.95,,,,,,,,,,
3158270,Football Life Simulator,https://store.steampowered.com/app/3158270,0.0,2.77,0.0,0.75,17.99,0.0,4.11,0.41,7.03,2.6,7.48,2.2,5.23,66.79,33.89,50.34,,,,,,,,,,
3158480,Hotel Owner Simulator,https://store.steampowered.com/app/3158480,0.0,0.0,0.0,0.0,16.69,1.15,4.23,0.0,3.14,4.46,7.6,4.66,5.24,41.97,33.99,37.98,,,,,,,,,,
3159000,Sunshine Farm,https://store.steampowered.com/app/3159000,0.0,0.0,0.0,0.0,25.83,4.31,3.25,1.24,6.07,3.69,11.95,6.31,7.83,41.97,61.7,51.83,,,,,,,,,,
3159900,108 Silly Ways to Die,https://store.steampowered.com/app/3159900,0.0,2.77,0.0,0.75,30.83,6.65,4.22,0.33,2.73,6.32,4.3,0.0,6.92,66.79,51.9,59.35,,,,,,,,,,
3160500,Kingdom of Cards,https://store.steampowered.com/app/3160500,0.0,0.0,0.0,0.0,21.41,7.54,3.46,1.99,4.6,6.73,11.83,15.49,9.13,41.97,74.06,58.02,,,,,,,,,,
3160580,Trade Conquest,https://store.steampowered.com/app/3160580,0.0,0.0,0.0,0.0,14.35,2.49,2.03,1.95,10.35,8.37,11.8,22.18,9.19,41.97,74.57,58.27,,,,,,,,,,
3160880,Tavern Legends,https://store.steampowered.com/app/3160880,0.0,2.77,0.0,0.75,15.63,1.11,1.56,0.0,3.89,5.16,7.22,5.18,4.97,66.79,31.38,49.08,,,,,,,,,,
